symbol,timeframe,bar_time,open,high,low,close
EURUSD,H1,2025-03-19T18:00:00Z,1.0884,1.0888,1.08754,1.0877
EURUSD,H1,2025-03-19T19:00:00Z,1.0877,1.08864,1.08761,1.08853
EURUSD,H1,2025-03-19T20:00:00Z,1.08852,1.08855,1.08606,1.08687
EURUSD,H1,2025-03-19T21:00:00Z,1.08685,1.09134,1.08615,1.09082
EURUSD,H1,2025-03-19T22:00:00Z,1.0907499999999999,1.0913,1.08851,1.08991
EURUSD,H1,2025-03-19T23:00:00Z,1.08991,1.09061,1.08959,1.09025
EURUSD,H1,2025-03-20T00:00:00Z,1.0901,1.09047,1.08975,1.09047
EURUSD,H1,2025-03-20T01:00:00Z,1.09047,1.09132,1.09036,1.09084
EURUSD,H1,2025-03-20T02:00:00Z,1.09084,1.0912,1.09051,1.09117
EURUSD,H1,2025-03-20T03:00:00Z,1.09117,1.09167,1.09038,1.09125
EURUSD,H1,2025-03-20T04:00:00Z,1.09125,1.09132,1.09037,1.0906
EURUSD,H1,2025-03-20T05:00:00Z,1.0906,1.09176,1.09055,1.09091
EURUSD,H1,2025-03-20T06:00:00Z,1.09091,1.09143,1.09071,1.09098
EURUSD,H1,2025-03-20T07:00:00Z,1.09098,1.09106,1.09004,1.09034
EURUSD,H1,2025-03-20T08:00:00Z,1.09034,1.09034,1.08908,1.08957
EURUSD,H1,2025-03-20T09:00:00Z,1.08957,1.0899,1.08898,1.08935
EURUSD,H1,2025-03-20T10:00:00Z,1.08935,1.08944,1.08647,1.08794
EURUSD,H1,2025-03-20T11:00:00Z,1.08794,1.08859,1.08632,1.08655
EURUSD,H1,2025-03-20T12:00:00Z,1.08654,1.08685,1.08385,1.08523
EURUSD,H1,2025-03-20T13:00:00Z,1.08523,1.08548,1.08334,1.08459
EURUSD,H1,2025-03-20T14:00:00Z,1.08459,1.08519,1.08394,1.08494
EURUSD,H1,2025-03-20T15:00:00Z,1.08494,1.08557,1.0830899999999999,1.08339
EURUSD,H1,2025-03-20T16:00:00Z,1.08339,1.08392,1.08147,1.08259
EURUSD,H1,2025-03-20T17:00:00Z,1.08256,1.08388,1.08228,1.08296
EURUSD,H1,2025-03-20T18:00:00Z,1.08296,1.08494,1.08234,1.08474
EURUSD,H1,2025-03-20T19:00:00Z,1.08474,1.08525,1.08423,1.08489
EURUSD,H1,2025-03-20T20:00:00Z,1.08489,1.08519,1.08391,1.08446
EURUSD,H1,2025-03-20T21:00:00Z,1.08447,1.08497,1.0842,1.08484
EURUSD,H1,2025-03-20T22:00:00Z,1.08484,1.0854300000000001,1.08472,1.08532
EURUSD,H1,2025-03-20T23:00:00Z,1.08532,1.08591,1.08517,1.08533
EURUSD,H1,2025-03-21T00:00:00Z,1.08494,1.08544,1.0843,1.08534
EURUSD,H1,2025-03-21T01:00:00Z,1.08534,1.08588,1.08533,1.08573
EURUSD,H1,2025-03-21T02:00:00Z,1.08573,1.08578,1.08533,1.08533
EURUSD,H1,2025-03-21T03:00:00Z,1.08533,1.08588,1.08507,1.08532
EURUSD,H1,2025-03-21T04:00:00Z,1.08532,1.08557,1.08485,1.08524
EURUSD,H1,2025-03-21T05:00:00Z,1.08524,1.08551,1.08423,1.08443
EURUSD,H1,2025-03-21T06:00:00Z,1.08443,1.08465,1.08334,1.08347
EURUSD,H1,2025-03-21T07:00:00Z,1.08347,1.08366,1.08276,1.08303
EURUSD,H1,2025-03-21T08:00:00Z,1.08303,1.08303,1.08201,1.08287
EURUSD,H1,2025-03-21T09:00:00Z,1.08287,1.08375,1.08244,1.08343
EURUSD,H1,2025-03-21T10:00:00Z,1.08343,1.08418,1.0827,1.08392
EURUSD,H1,2025-03-21T11:00:00Z,1.08392,1.08457,1.08241,1.08362
EURUSD,H1,2025-03-21T12:00:00Z,1.08362,1.08391,1.0824799999999999,1.08258
